id,age_asvab,hgc_mom,hgc_dad,asvab_general_sci,asvab_arith_reasoning,asvab_word_know,asvab_para_comp,asvab_nmbr_oper,asvab_coding_speed,asvab_autoshop_info,asvab_math_know,asvab_mech_comp,asvab_electr_info,abl_social
14,17,12,12,52,61,57,62,59,54,51,68,63,56,.38348544
15,16,12,12,59.455357,60.156311,58.406136,60.356766,58.308014,59.8382,49.688766,48.049904,58.276081,54.757961,.31114921
21,19,12,18,46.458496,63.843353,56.976532,54.286331,60.241314,58.803143,55.889996,66.578781,61.399925,39.9828,.81029409
22,17,12,12,56,62,56,59,57,49,46,63,61,56,-.30712479
24,19,12,12,48.458496,53.843353,56.976532,54.286331,46.241314,47.803143,57.889996,42.578781,57.399925,46.9828,.60391176
26,18,16,17,63.517006,64.687378,58.261105,58.165054,60.670517,57.582207,65.905632,67.424408,66.527664,69.182442,.33172593
28,16,14,20,57.455357,67.156311,60.406136,54.356766,60.308014,53.8382,49.688766,68.049904,45.276081,40.757961,-1.2049906
35,17,12,12,42,46,54,50,52,53,44,46,50,39,.28429744
38,18,12,12,37.517006,37.687374,37.261105,43.165054,45.670517,51.582207,42.905636,36.424412,47.52766,33.182442,-.23782732
41,18,10,12,57.517006,45.687374,53.261105,49.165054,50.670517,54.582207,51.905636,56.424412,45.52766,52.182442,1.3993694
42,17,14,12,48,42,38,38,52,45,48,41,46,42,.66133076
43,19,10,9,44.458496,32.843353,32.976532,33.286331,39.241314,44.803143,41.889996,47.578781,33.399925,41.9828,-1.1794868
44,19,12,12,42.458496,47.843353,45.976532,48.286331,50.241314,51.803143,43.889996,41.578781,44.399925,46.9828,-.15816145
46,18,12,12,47.517006,44.687374,51.261105,61.165054,60.670517,64.582207,42.905636,61.424412,51.52766,55.182442,.93701071
56,16,12,12,53.455357,50.156311,56.406136,54.356766,43.308014,44.8382,50.688766,54.049904,54.276081,52.757961,.78409475
60,19,12,16,64.458496,55.843353,51.976532,60.286331,50.241314,44.803143,66.889992,58.578781,66.399925,62.9828,1.3441159
61,18,12,16,63.517006,63.687374,60.261105,61.165054,60.670517,63.582207,47.905636,67.424408,62.52766,64.182442,-.067176402
62,16,12,16,43.455357,43.156311,49.406136,48.356766,49.308014,37.8382,52.688766,44.049904,47.276081,43.757961,-.016290165
64,19,15,12,56.458496,57.843353,58.976532,57.286331,47.241314,43.803143,43.889996,60.578781,46.399925,53.9828,.60391176
65,17,16,12,46,51,59,53,61,63,42,60,33,39,-1.096923
66,16,12,17,47.455357,37.156311,47.406136,36.356766,35.308014,38.8382,52.688766,41.049904,34.276081,50.757961,-.67116886
68,18,16,17,67.517006,65.687378,60.261105,61.165054,59.670517,67.582207,51.905636,67.424408,54.52766,55.182442,1.0223361
69,16,17,16,51.455357,63.156311,55.406136,57.356766,52.308014,55.8382,54.688766,62.049904,54.276081,50.757961,.55326307
71,17,17,16,60,66,61,59,62,36,49,68,59,60,.90344465
73,17,16,16,60,50,60,56,52,54,49,57,61,60,.98877019
75,18,14,16,49.517006,46.687374,58.261105,58.165054,54.670517,55.582207,49.905636,56.424412,49.52766,52.182442,-.52953517
77,16,16,16,61.455357,60.156311,56.406136,63.356766,40.308014,47.8382,38.688766,66.049904,53.276081,47.757961,.39647466
84,17,,12,32,39,33,41,44,23,35,41,37,37,-.56310117
87,17,11,12,38,38,22,32,25,41,33,41,38,34,-.32098728
91,17,5,3,32,31,39,41,61,59,40,46,37,46,-.56310117
92,18,12,12,49.517006,38.687374,49.261105,52.165054,49.670517,50.582207,44.905636,48.424412,43.52766,48.182442,.33172593
93,16,,,47.455357,39.156311,40.406136,45.356766,40.308014,48.8382,45.688766,44.049904,45.276081,57.757961,-.68503141
96,19,6,,42.458496,43.843353,40.976532,51.286331,54.241314,52.803143,41.889996,44.578781,35.399925,46.9828,-1.3111305
102,16,10,5,51.455357,51.156311,45.406136,51.356766,53.308014,50.8382,43.688766,62.049904,38.276081,40.757961,1.0513535
106,19,12,9,56.458496,64.843353,58.976532,51.286331,60.241314,57.803143,46.889996,63.578781,59.399925,60.9828,.048221007
107,18,11,9,49.517006,50.687374,55.261105,49.165054,60.670517,63.582207,47.905636,53.424412,52.52766,45.182442,.17493749
109,18,,,47.517006,42.687374,59.261105,55.165054,42.670517,41.582207,40.905636,42.424412,43.52766,52.182442,-.15250185
112,17,12,8,56,39,50,50,46,42,48,44,48,51,-.61269516
113,17,,,58,58,51,50,56,47,53,54,67,68,-.27139333
116,17,10,12,52,40,55,53,62,55,46,62,42,46,-.57696372
121,16,17,15,59.455357,55.156311,61.406136,60.356766,60.308014,52.8382,50.688766,65.049904,49.276081,52.757961,1.7776952
122,19,11,10,52.458496,52.843353,52.976532,48.286331,54.241314,47.803143,48.889996,47.578781,59.399925,57.9828,-.12242995
123,18,16,16,63.517006,61.687374,56.261105,58.165054,59.670517,56.582207,64.905632,65.424408,67.527664,64.182442,-1.2201455
124,19,14,14,52.458496,36.843353,52.976532,48.286331,39.241314,35.803143,45.889996,41.578781,33.399925,43.9828,-.81304014
133,18,10,11,45.517006,44.687374,49.261105,55.165054,59.670517,52.582207,40.905636,48.424412,43.52766,31.182442,.1253435
134,19,9,12,50.458496,51.843353,44.976532,45.286331,52.241314,42.803143,64.889992,55.578781,68.399925,50.9828,.44712329
135,16,9,12,49.455357,46.156311,45.406136,54.356766,49.308014,49.8382,49.688766,41.049904,51.276081,52.757961,-.70690042
137,19,13,16,50.458496,62.843353,53.976532,54.286331,60.241314,64.803146,52.889996,64.578781,63.399925,50.9828,.070089951
138,18,14,16,45.517006,57.687374,54.261105,58.165054,58.670517,70.582207,42.905636,64.424408,51.52766,45.182442,.21066901
139,17,16,16,56,58,56,59,49,50,66,46,61,58,.78238773
141,18,12,16,55.517006,53.687374,59.261105,58.165054,49.670517,48.582207,47.905636,61.424412,52.52766,59.182442,1.3497754
143,19,10,10,50.458496,51.843353,56.976532,48.286331,53.241314,44.803143,43.889996,50.578781,36.399925,50.9828,-.32881236
